vwuosg,jqhtan,1984,452198,true
phbpgb,gpnadu,1988,307542,true
jwcuwb,bncomw,1969,82684,true
qlaqae,pasmoq,1983,275086,true
uegipx,oksylv,1978,333607,true
lnxmhc,nutprd,1977,454928,true
yyqtnk,hjtsji,1996,64078,true
mrnmfo,bxahay,1967,214829,true
csfvoi,ibriuo,1953,317961,true
utgbel,hosutc,1976,372066,true
piylnd,niomlg,1979,299732,true
exichu,vxxhdr,1950,93618,true
aelaci,roonwg,1999,334857,true
kiyqam,dxdeyi,1960,38016,true
yoybsg,nkfcfa,1961,300791,true
anondv,ucjfvg,1962,436156,true
milnbs,ruwlqn,1968,253476,true
oghjks,yialtw,1958,242426,true
qxahlw,qdmhto,1975,228586,true
levfte,gniuhm,1988,187213,true
kgxyyi,lahqvp,2008,466818,true
yigyky,swwylk,1988,27207,true
jwpjpd,bvjlsu,1971,98146,true
xvrlmb,xkrxaj,2015,20852,true
rlkevq,swsvcp,1953,121233,true
rxjott,eqsjyf,2008,152878,true
kvvqnx,kkkxku,2012,331107,true
tyldhu,ppwvbo,1966,394083,true
blnuah,aklihh,1951,180696,true
hlgrtj,qcaeeg,1967,310319,true
csebku,jtolux,1958,409978,true
rilcsp,joasqe,1993,128138,true
riuayb,wjncef,1979,140292,true
esvdof,wkboyd,1995,423611,true
gjkmje,vfttjd,1971,10696,true
modgfk,nveyfa,1955,425549,true
elhiqp,hltmbk,1996,328344,true
ynttnb,nyrpuj,2013,14675,true
oukbca,vkdqxo,1995,115443,true
drcjqn,kerkdh,2002,356273,true
jhudhd,ngldcf,2011,361651,true
iugocs,shvrtb,1975,225412,true
vekmha,dapbps,1957,232672,true
jmlawe,fpbwne,1993,471030,true
bogagt,qvnnir,2018,443291,true
juljej,juvyti,1950,218051,true
ipfsll,gaknvt,1978,476294,true
femcis,jhquww,1992,325081,true
bahyyh,hkepjo,1979,317426,true
gpxynt,xcskgj,1997,299403,true
bmmxci,dhegpv,1963,380976,true
yodfmw,axwocd,1959,320627,true
ehbsdb,qepksr,1967,320585,true
dnjsbf,dqessd,1977,239718,true
qwtfrw,fgltod,1989,455510,true
rdkmcw,menwpj,1986,401065,true
iukypo,uyhwfx,1974,93861,true
bornnr,rcgnke,1970,381867,true
wpgkcl,xgjkit,1957,101205,true
iiwykq,hfmeoq,1953,255265,true
kecgai,lbrgor,1977,145475,true
apwoop,agsosw,1964,261538,true
ivmllx,wvsgxy,1978,147241,true
fllqfv,fuubiw,1979,315102,true
ahanth,mbbmaw,1988,78177,true
dsbfew,jhywle,1992,84145,true
tstrmk,rfrmkx,1952,379969,true
ccedum,rskdsl,2011,454431,true
fufwhm,dgltxx,1959,420912,true
rayvob,lnxcor,1981,29165,true
atnait,pivgly,1997,68077,true
ptyocj,pahjxn,1976,422709,true
hfixvm,aixlff,2002,129234,true
tscoau,rnvojc,1974,477604,true
tqjlcp,xsapko,1988,110588,true
ciukwh,qmxpck,1978,171477,true
cpfsrb,ynnvna,1980,443886,true
utxkeu,vtioiw,2008,383294,true
ecfxej,dhiblv,1969,59658,true
nwgerg,pfspwt,1984,356889,true
rmaacv,rgnaoo,1962,422036,true
ieymra,isfqtt,2006,133708,true
xxgubd,sptgnf,1966,395098,true
gtwqod,sesgsw,1977,426508,true
uqiljp,fouevp,1986,80589,true
gtkmvi,vknvhl,1978,371023,true
uxmdic,sbqljx,1996,52603,true
keurjp,eliirl,1990,323560,true
woynii,wfbrcn,1964,216051,true
wacajj,qivdkj,2016,369129,true
fdixhq,icvspb,1962,332608,true
rqepmw,tuvrqq,1981,466850,true
cdsnmg,pokfiy,1964,90396,true
kxftyq,wijhhq,1981,187259,true
kpuaku,hltjvd,1993,441768,true
mouxec,uncegd,1975,289557,true
mvdjke,rtdpnn,1977,297367,true
unyypi,krmhhg,1959,445978,true
ficmsm,jsjuoh,1958,43967,true
dvexxh,ibbukj,1990,245087,true
